"filename", "language", "TypeScript", "JSON with Comments", "TypeScript JSX", "Prisma", "SCSS", "YAML", "SQL", "XML", "Markdown", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\antho\Desktop\nextjs-social-app\src\components\VideoControls.tsx", "TypeScript JSX", 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 154
"c:\Users\antho\Desktop\nextjs-social-app\src\hooks\useOneTapSignin.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 71
"c:\Users\antho\Desktop\nextjs-social-app\src\layout\ChatBubble.tsx", "TypeScript JSX", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\antho\Desktop\nextjs-social-app\src\layout\ChatDetail.tsx", "TypeScript JSX", 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 133
"c:\Users\antho\Desktop\nextjs-social-app\src\layout\ChatList.tsx", "TypeScript JSX", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 61
"c:\Users\antho\Desktop\nextjs-social-app\src\layout\Draft.tsx", "TypeScript JSX", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 61
"c:\Users\antho\Desktop\nextjs-social-app\src\layout\Footer.tsx", "TypeScript JSX", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 40
"c:\Users\antho\Desktop\nextjs-social-app\src\layout\Header.tsx", "TypeScript JSX", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 107
"c:\Users\antho\Desktop\nextjs-social-app\src\layout\Landing.tsx", "TypeScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\antho\Desktop\nextjs-social-app\src\layout\LeftNav.tsx", "TypeScript JSX", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 85
"c:\Users\antho\Desktop\nextjs-social-app\src\layout\Post.tsx", "TypeScript JSX", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 64
"c:\Users\antho\Desktop\nextjs-social-app\src\layout\PostLoading.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\antho\Desktop\nextjs-social-app\src\layout\Profile.tsx", "TypeScript JSX", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 82
"c:\Users\antho\Desktop\nextjs-social-app\src\layout\ShortVideo.tsx", "TypeScript JSX", 0, 0, 222, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27, 250
"c:\Users\antho\Desktop\nextjs-social-app\src\layout\Sidebar.tsx", "TypeScript JSX", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\antho\Desktop\nextjs-social-app\src\layout\Timeline.tsx", "TypeScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\antho\Desktop\nextjs-social-app\src\layout\VideoSidebar.tsx", "TypeScript JSX", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\antho\Desktop\nextjs-social-app\src\layout\VideoSlide.tsx", "TypeScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\antho\Desktop\nextjs-social-app\src\lib\ApolloWrapper.tsx", "TypeScript JSX", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 14, 5, 52
"c:\Users\antho\Desktop\nextjs-social-app\src\lib\OneTapComponent.tsx", "TypeScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
"c:\Users\antho\Desktop\nextjs-social-app\src\lib\SessionProvider.tsx", "TypeScript JSX", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\antho\Desktop\nextjs-social-app\src\mockdata.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 72
"c:\Users\antho\Desktop\nextjs-social-app\src\prisma\database.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 20
"c:\Users\antho\Desktop\nextjs-social-app\src\prisma\migrations\20230918010756_init\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 30, 37, 154
"c:\Users\antho\Desktop\nextjs-social-app\src\prisma\migrations\20231104030831_adding_user_account_post_and_session\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 33, 29, 120
"c:\Users\antho\Desktop\nextjs-social-app\src\prisma\migrations\20231106194742_change_structure\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 39, 33, 140
"c:\Users\antho\Desktop\nextjs-social-app\src\prisma\migrations\20231106205826_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 25, 17, 70
"c:\Users\antho\Desktop\nextjs-social-app\src\prisma\pothos-types.ts", "TypeScript", 332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 333
"c:\Users\antho\Desktop\nextjs-social-app\src\prisma\schema.prisma", "Prisma", 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 2, 26, 182
"c:\Users\antho\Desktop\nextjs-social-app\src\prisma\seed.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 5, 26
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\abstracts\_breakpoints.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\abstracts\_color.scss", "SCSS", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\abstracts\_fonts.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\abstracts\_mixins.scss", "SCSS", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 2, 33
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\abstracts\_varibles.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 7, 6, 21
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\base\_reset.scss", "SCSS", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 1, 9, 61
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\base\_typography.scss", "SCSS", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 9, 36
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\Button.module.scss", "SCSS", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\Card.module.scss", "SCSS", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\ChatTab.module.scss", "SCSS", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\Chip.module.scss", "SCSS", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 9, 47
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\Comment.module.scss", "SCSS", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 9, 40
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\Divider.module.scss", "SCSS", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\Image.module.scss", "SCSS", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 2, 12
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\ListItem.module.scss", "SCSS", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 9, 47
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\Loading.module.scss", "SCSS", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 5, 40
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\Modal.module.scss", "SCSS", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 9, 58
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\PostAction.module.scss", "SCSS", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\PostActionButton.module.scss", "SCSS", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\Searchbar.module.scss", "SCSS", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\Tab.module.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\TextField.module.scss", "SCSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\Video.module.scss", "SCSS", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\components\VideoControls.module.scss", "SCSS", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 10, 56
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\globals.scss", "SCSS", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 9, 65
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\ChatBubble.module.scss", "SCSS", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\ChatDetail.module.scss", "SCSS", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 9, 54
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\ChatList.module.scss", "SCSS", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 6, 28
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\Draft.module.scss", "SCSS", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 13, 75
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\Dropdown.module.scss", "SCSS", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\Footer.module.scss", "SCSS", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\Header.module.scss", "SCSS", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 10, 62
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\Landing.module.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\LeftNav.module.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\OneTap.module.scss", "SCSS", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\Post.module.scss", "SCSS", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 15, 101
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\Profile.module.scss", "SCSS", 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 23, 144
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\ShortVideo.module.scss", "SCSS", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 17, 97
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\Sidebar.module.scss", "SCSS", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\Timeline.module.scss", "SCSS", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\VideoSidebar.module.scss", "SCSS", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 6, 30
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\layout\VideoSlide.module.scss", "SCSS", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\antho\Desktop\nextjs-social-app\src\styles\sass\themes\_theme.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\antho\Desktop\nextjs-social-app\src\utils\getAllPosts.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\antho\Desktop\nextjs-social-app\src\utils\getCurrentUser.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 13
"c:\Users\antho\Desktop\nextjs-social-app\src\utils\getPostsByUser.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\antho\Desktop\nextjs-social-app\tsconfig.json", "JSON with Comments", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 28
"Total", "-", 955, 25, 2386, 154, 1601, 14, 241, 2, 30, 3963, 2, 258, 919, 10550